Ê±¼ä,A,B,C,D,E
1993,1.187314377,0.068744449,-0.007948756,-0.137808215,0.036432428
1994,1.255431916,0.084031394,0.0140918,-0.099857019,-0.014283252
1995,1.257158796,0.139564907,0.005569953,-0.081187461,-0.010883766
1996,1.263291059,0.210626457,0.019686624,-0.024339393,0.032186669
1997,1.25979633,0.2097192,-0.012996207,0.021129564,0.006917308
1998,1.295193737,0.301798083,0.017375564,-0.010064173,0.001506138
1999,1.359769627,0.378542376,0.047674516,0.001191492,0.01330222
2000,1.327132006,0.253626759,0.050995037,0.039045497,0.019038528
2001,1.39530696,0.293094105,0.056552247,0.018399238,0.008117176
2002,1.412121626,0.226080106,0.121197772,0.04242073,-0.005135691
2003,1.445105823,0.356900254,0.12444908,-0.011682758,-0.038359361
2004,1.428657242,0.341086909,0.084717125,0.037776037,-0.032869117
2005,1.473875121,0.370135875,0.095455362,0.002783836,-0.030989068
2006,1.473896288,0.241976698,0.117656405,0.042177545,-0.049242045
2007,1.516270719,0.285967369,0.162433785,-0.020700866,-0.07622212
2008,1.533254258,0.225255144,0.216940866,-0.019610248,-0.040885081
2009,1.522292401,0.315928773,0.144124584,0.003662331,-0.071574177
2010,1.577568515,0.337969372,0.179397886,-0.035059493,-0.055864767
2011,1.541671459,0.340058668,0.088152157,-0.023891759,-0.120699232
2012,1.580906303,0.288144637,0.120155712,-0.033885615,-0.135870218
2013,1.560061258,0.401634626,0.014835898,0.001555817,-0.133537729
2014,1.611256277,0.29459022,0.077263266,-0.009242292,-0.126335766
2015,1.60380679,0.372377088,-0.040059965,0.035273228,-0.145334462
2016,1.535406385,0.39186609,-0.210660033,0.105714274,-0.136161587
2017,1.548493662,0.400210458,-0.301441887,0.118146301,-0.129533696
2018,1.610766404,0.576728391,-0.286759608,0.186912444,-0.043482355
2019,1.598255405,0.501237902,-0.348750175,0.188727157,-3.48349E-05
2020,1.578824125,0.72645104,-0.246679898,0.142725904,0.02329499
